title,price,discounted_price,description,category,item_image
Pink Lilies,1900,1849,Set of 20 lilies,Bouquets,fl_1.jpg
Vilnius Flowers,1500,1349,Set of 20 refreshing flowers,Bouquets,fl_2.jpg
Pink Charm Roses,3500,3149,Set of 100 pink roses,Bouquets,fl_3.jpg
Peaceful White Roses,1200,1000,Set of 15 flowers,Bouquets,fl_4.jpg
Birthday Bouquet,1700,1599,Contains 3 shades of roses with total of 15 flowers,Bouquets,fl_5.jpg
Sunflowers Bouquet,1400,1200,Set of 10 flowers,Bouquets,fl_6.png
Rainbow Bouquet,2500,2399,Set of 6 different colored flowers,Bouquets,fl_7.jpg
Wedding Bouquet,2400,2399,Set of 25 flowers of 3 different roses,Bouquets,fl_8.jpg
Red Bouquet,3000,2700,Contains 5 different red flowers,Bouquets,fl_9.jpg
Floral Enchantment,3000,2899,Comes along with ribbon and tag ,Bouquets,fl_10.webp
Cheers Bouquet,5000,4899,Comes with 5 mycans fixed in Bouquet,Bouquets,fl_11.jpg
King Protea,3500,3359,Comes with original refreshing flowers,Bouquets,fl_12.webp
Mini Bouquet,700,549,Comes with flowers rolled in Bouquet sheets,Bouquets,fl_13.jpg
White Love,1000,849,Comes all wrapped,Bouquets,fl_14.jpg
Pink Tulips,4500,4399,Pack of 50 flowers,Bouquets,fl_15.jpg
Pink Love,2600,2499,Pack of 20 flowers,Bouquets,fl_16.jpg
Lilies,2500,2349,Comes wrapped as shown,Bouquets,fl_17.webp
Royal Blue,3000,2899,Comes wrapped in bouquet sheets,Bouquets,fl_18.jpg
Birthday Bash,1500,1300,Comes with Bag and Ribbon,Bouquets,fl_19.jpg
Pot Bouquet,4500,4399,Comes with a Ceramic Pot as shown,Bouquets,fl_20.jpg
Rocher Choco Bouquet,1500,1299,Bouquet of Ferrero Rocher Chocolates- 16 pcs.,Chocolates,choco_1.webp
Dairy Milk Basket,1000,899,"Round Cane Basket (Diameter 7 Inches), Cadbury Dairy Milk Chocolates - 12 (12.5 grams), Cadbury Chocolairs Gold Candy 30 Pcs.",Chocolates,choco_2.webp
Five Star Chocolate Love,1049,899,"18 Pcs of Five Star Chocolates- 25 Gms Each, Red Paper Packing, Beautifully tied with Red Ribbon",Chocolates,choco_3.webp
Valentine Assorted Chocolates In Hot Pink Potli,900,849,Pack of Choco Swiss Valentine Assorted Chocolates- 20 Pcs,Chocolates,choco_4.webp
Box Of Love You Chocolates & Brownies,1300,1149,One Box Of Chocolates & Brownies- 18 Pcs with I Love You message,Chocolates,choco_5.webp
Festive Theme Assorted Chocolate Box,1700,1599,"Assortment of soft filled chocolates like Mocca, Rose, Mint, etc",Chocolates,choco_6.webp
Flavorful Amul Chocolates Combo,1500,1259,"Amul Mystic Mocha, Bitter, Tropical Orange, Milk Chocolate",Chocolates,choco_7.webp
Espresso Beans Layered Milk Chocolate,400,359,One Pack of Arabica espresso beans layered in milk chocolate,Chocolates,choco_8.webp
Bubbly Dairy Milk,400,299,2 Dairy Milk Silk Bubbly Chocolates- 50 gms each,Chocolates,choco_9.webp
Single Origin Chocolate Gift Box,800,699,Pack of Single Origin Chocolates,Chocolates,choco_10.webp
Festive Cadbury Crackle 5 star Gift Hamper,1799,1549,"10 Pcs Cadbury Dairy Milk Chocolates, 8 Pcs Cadbury 5 Star Chocolate, 5 Pcs Cadbury Dairy Milk Crackle Chocolates",Chocolates,choco_11.webp
Chocolate Jar,1000,899,Square Assorted Chocolates - 250 grams,Chocolates,choco_12.webp
Delicate Chocolate,1299,800,One Box of Fusion Chocolate Modaks,Chocolates,choco_13.webp
Twist of Flavors,400,359,Cadbury Temptations Almond Treat Chocolate,Chocolates,choco_14.webp
Amul Chocolates,1400,1299,"Amul Venezuela Chocolate, Amul Ivory Coast Chocolate- Pack of 6",Chocolates,choco_15.webp
Nutty Amul Chocolates,1500,1200,Amul Raisin N Almond Chocolate - Pack of 4,Chocolates,choco_16.webp
Lindt Chocolates,1300,1249,"Lindt Excellence Dark Orange Intense, Hershey's Cookies N Chocolate packed in a cane basket",Chocolates,choco_17.webp
Assorted Chocolates Basket,699,599,Packed in a Cane Basket,Chocolates,choco_18.webp
Basket Of Golden Treat,1099,899,Square Assorted Handmade Chocolates in Boat Shaped Cane Basket ,Chocolates,choco_19.webp
Floral Vanilla,700,649,comes along with candles (1/2 Kg),Cakes,ca_1.jpg
Red velvet,839,900,comes along with candles (1/2 Kg),Cakes,ca_2.jpg
Chocolate Fudge,650,599,comes along with candles (1/2) Kg,Cakes,ca_3.png
Chocolate Caramel,1650,1500,1 Kg cake,Cakes,ca_4.jpg
Rainbow cake,999,850,comes along with candles (1/2 )Kg,Cakes,ca_5.jpg
Hearty kitkat,600,499,comes along with candles (1/2)Kg,Cakes,ca_6.jpg
Smash Cake,1649,1449,comes along with candles 1Kg,Cakes,ca_7.webp
Floral round chocolate,1800,1699,comes along with candles 1Kg,Cakes,ca_8.webp
Satin Heart Cake,699,599,comes along with candles (1/2)Kg,Cakes,ca_9.webp
Chocochip & Oreo Jar Cake,300,249,comes with a jar,Cakes,ca_10.webp
Fruit Overload,1500,1350,comes along with candles (1Kg),Cakes,ca_11.webp
Butterfly Cake,3000,2899,cames along with happy birthday tag (1/2 Kg),Cakes,ca_12.webp
Pull me up Cake,1300,1250,comes with a ribbon and transparent sheet to pull (1 Kg),Cakes,ca_13.webp
Chocolate Truffle,1400,1350,comes with ribbon (1 Kg),Cakes,ca_14.webp
Chocolate Galore,799,659,(1/2) Kg cake,Cakes,ca_15.webp
Kit Kat cake,1500,1349,comes with ribbon (1 Kg),Cakes,ca_16.webp
Chocolaty Rolls Cake,799,649,(1/2) Kg cake,Cakes,ca_17.webp
Rainbow Cream,1800,1449,comes along with candles (1Kg),Cakes,ca_18.webp
White forest creme ,1500,1349,1 Kg cake,Cales,ca_19.webp
Heart Chocolate Panata,3300,2945,comes with hammer (1Kg),Cakes,ca_20.webp
carmona-bonsai-plant,8849,8840,Carmona plant is commonly known as scorpionbush. They belong to a genus of flowering plants in the borage family.,Plants,plant_1.jpg
Exotic Nolina Bonsai Plant,9799,9700,Plant Height- Upto 21 inches. Ceramic Pot,Plants,plant_2.jpg
Potted Ficus Bonsai Plant,2149,2100,Plant Height- Upto 10 inches.Jute wrapped Plastic Pot with Raffia Knot,Plants,plant_3.jpg
Ficus Compacta Plant,1199,1150,Plant Height- Upto 3 Inches.Blue Ceramic Pot with Golden Stand,Plants,plant_4.jpg
Dracaena Plant,1899,1870,Plant Height- Upto 10 Inches. In Tin Base,Plants,plant_5.jpg
I Shaped Ficus Plant,2299,2210,Plant Height- Upto 8 inches.In Blue Ceramic Pot.,Plants,plant_6.jpg
Dracaena & More plant,2599,2515,Plant Height- Upto 4 Inches. In Wooden Tray.,Plants,plant_7.jpg
Money Plant,999,900,One Money Plant- Upto 5 Inches.In Pretty Kullar Glass Pot.,Plants,plant_8.jpg
Five Money Plants,2749,2608,Plant Height- Upto 8 Inches.In Wooden Log.,Plants,plant_9.jpg
Sansevieria,2149,2100,Sheesham Wood Vintage Planter.Pot Dimensions- 3.75 x 4 inches.,Plants,plant_10.jpg
Lucky Bamboo Bombay,949,910,Blue Bombay Sapphire Bottle Planter.Planter Dimensions- 24 x 8 x 7 inches,Plants,plant_11.jpg
Syngonium Plant Glass,749,699,Plant Height- Upto 6 inches.In Round Glass Vase (Diameter).,Plants,plant_12.jpg
Peace Lily,599,450,Plant Height- Upto 6 inches. In Artistic Melamine Pot.,Plants,plant_13.jpg
Supple Ficus Compacta Plant,999,910,Plant Height- Upto 5 inches.Square shaped Glass Vase.,Plants,plant_14.jpg
Syngonium Golden Plant,749,650,Height 8 Inches approx. In a Round Glass Potpourri Vase,Plants,plant_15.jpg
Ceramic PotSyngonium Plant,499,450,Plant Height- Upto 5 inches.Gold Ceramic Pot.,Plants,plant_16.jpg
Jade Plant,999,850,Plant Height- Upto 4 inches.1 Personalised White Ceramic Mug- 4 X 3 inches.,Plants,plant_17.jpg
Green Sansevieria Plant,399,325,Plant Height- Upto 3.5 inches.Square Shaped Plastic Pot Red- 2.5 x 2.5 inches.,Plants,plant_18.jpg
Zamia Plant,1249,1200,Height- Upto 5 Inches.Beige Color Pipe Cork Planter 4 x 4 Inches Cork Planter.,Plants,plant_19.jpg
Haworthia Zebra Plant,950,899,Plant Height- Upto 4 inches.Star Resin Pot.,Plants,plant_20.jpg
Chocolairs Wishes,1699,1200,"Cadbury Chocolairs Gold Candy Pack, Ferrero Rochers - 16 along with glass vase",Chocolates,choco_20.webp
Lotus Sansevieria Plant 3,699,654,Plant Height- Upto 5 inches. In Square Glass Vase- 3 x 3 inches,Plants,plant_21.jpg
Rossy Black forest,1500,1399,1 Kg cake,Cake,ca_21.webp
Signature Chocolate,300,249,1 Pc of Rage Chocolatier Love You 365 Days Signature Chocolate,Chocolates,choco_21.webp
Pinky Promise Rose ,600,499,contains 12 roses,Bouquets,fl_21.webp